courseId, courseName, courseDepartment, creditHours, description
AAS199,Undergraduate Open Seminar,Asian American Studies,1 TO 5 hours.,May be repeated to a maximum of 6 hours.
AAS105,Introduction to Arab American Studies,Asian American Studies,3 hours.,Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history  race  social organization  politics  literature  and art related to Arab American experiences.
AAS246,Asian American Youth in Film,Asian American Studies,3 hours.,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.
AAS201,US Racial &amp; Ethnic Politics,Asian American Studies,3 hours.,Same as AFRO 201  LLS 201  and PS 201. See PS 201.
AAS120,Intro to Asian Am Pop Culture,Asian American Studies,3 hours.,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.
AAS215,US Citizenship Comparatively,Asian American Studies,3 hours.,Examines the racial  gendered  and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies  history  literature  literary criticism  and ethnography. Same as AFRO 215  AIS 295  GWS 215  and LLS 215. Prerequisite: One of: AAS 100  AAS 120  AFRO 100 AIS 101  GWS 250  LLS 100.
AAS288,Global Islam and Feminisms,Asian American Studies,3 hours.,Same as GWS 288. See GWS 288.
AAS299,Begin Topics Asian Am Studies,Asian American Studies,3 hours.,May be repeated in the same or subsequent terms to a maximum of 6 hours.
AAS200,U.S. Race and Empire,Asian American Studies,3 hours.,Invites students to examine histories and narratives of U.S. race and empire  drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.
AAS258,Muslims in America,Asian American Studies,3 hours.,Introduction to the study of Muslims in the United States and broadly the history of Islam in the Americas. Using a comparative approach  we study how the historical narrative of African American and Latino Muslims relates to newer immigrant populations  primarily Arab American and South Asian American Muslim communities. Same as LLS 258 and REL 258.
AAS357,Literatures of the Displaced,Asian American Studies,3 hours.,Same as AIS 357  ENGL 357  GWS 357  and LLS 357. See LLS 357.
AAS100,Intro Asian American Studies,Asian American Studies,3 hours.,Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history  social organization  literature  arts  and politics.
AAS346,Asian American Youth,Asian American Studies,3 hours.,Explores cultural production of second-generation Asian American youth as a historical and social formation. Course examines how youth are actively shaping the U.S. landscape in terms of identity formation  youth  culture  education  juvenile justice  politics and activism  and community formations. These experiences are examined in backdrop of larger historical  economic  racial  social and political forces in the United States. Same as HDFS 341.
AAS375,Prisons  Race  and Terror,Asian American Studies,3 hours.,Examination of the U.S. prison regime  focusing on three dimensions of U.S. imprisonment -- criminal justice  immigrant detention  and martial imprisonment  particularly under the War on Terror. Same as LLS 377.
AAS287,Food and Asian Americans,Asian American Studies,3 hours.,Introduction to the interdisciplinary study of food to better understand the historical  social  and cultural aspects of Asian American food preparation  distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits  and rituals around food in restaurants  ethnic cookbooks  fictional works  memoirs  magazines  and television shows. Prerequisite: AAS 100 or AAS 120  or consent of instructor.
AAS300,Theories of Race  Gender  and Sexuality,Asian American Studies,3 hours.,Explores theories for performing interdisciplinary  intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.
AAS402,Asian American Education,Asian American Studies,4 hours.,Same as EPS 402 and EPOL 402. See EPS 402.
AAS490,Adv Topics in Asian Am Studies,Asian American Studies,3 OR 4 hours.,Research seminar on specialized topics in Asian American Studies. 3 or 4 undergraduate hours. 3 or 4 graduate hours. May be repeated if topics vary. Students may register in more than one section per term if topics vary. Prerequisite: AAS 100 or any Asian American Studies course  or consent of instructor.
AAS539,Youth  Culture and Society,Asian American Studies,4 hours.,Same as EPS 539 and HDFS 539. See HDFS 539.
AAS465,Race  Sex  and Deviance,Asian American Studies,3 OR 4 hours.,Same as AFRO 465  GWS 465  and LLS 465. See LLS 465.
AAS343,Criminalization and Punishment,Asian American Studies,3 hours.,Same as AFRO 343  AIS 343  GWS 343  and LLS 343. See LLS 343.
AAS479,Race  Medicine  and Society,Asian American Studies,3 OR 4 hours.,Same as ANTH 479 and LLS 479. See LLS 479.
AAS370,Immigration  Law  and Rights,Asian American Studies,3 hours.,Exploration of the histories  cultures  and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation  federal court cases). Same as LLS 372.
AAS390,Intermed Topics Asian Am St,Asian American Studies,3 hours.,May be repeated in the same or subsequent terms to a maximum of 6 hours.
AAS464,Theories &amp; Theologies of Liberation,Asian American Studies,3 OR 4 hours.,Same as ANTH 464  GWS 464  and REL 464. See GWS 464.
AAS561,Race and Cultural Critique,Asian American Studies,4 hours.,Introduction to graduate level theoretical and methodological approaches in Comparative Race Studies. As a survey of theories of race and racism and the methodology of critique  this course offers an interdisciplinary approach that draws from anthropology  sociology  history  literature  cultural studies  and gender/sexuality studies. In addition  the study of racial and cultural formation is examined from a comparative perspective in the scholarship of racialized and Gender and Women's Studies. Same as AFRO 531  ANTH 565  GWS 561  and LLS 561.
AAS590,Asian Am Studies Seminar,Asian American Studies,2 TO 4 hours.,Approved for letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing or consent of instructor.
AAS400,Critical Ethnic Studies,Asian American Studies,3 OR 4 hours.,Examines the formation of the field of Critical Ethnic Studies and elaborates its key concepts  such as settler colonialism  indigeneity  heteropatriarchy  decolonization  and liberation. Same as LLS 460. 3 undergraduate hours. 4 graduate hours.
AAS355,Race and Mixed Race,Asian American Studies,3 hours.,Same as LLS 355 and SOC 355. See LLS 355.
AAS589,Readings in Asian Am Studies,Asian American Studies,1 TO 4 hours.,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.
AAS365,Asian American Media and Film,Asian American Studies,3 hours.,An examination of media generally and films and videos more specifically (experimental  documentary  independent  and Hollywood features) by  for  and about Asian Americans. Same as MACS 365. Prerequisite: Any AAS course at the 100- or 200-level  or consent of instructor.
AAS286,Asian American Literature,Asian American Studies,3 hours.,Same as ENGL 286. See ENGL 286.
AAS290,Individual Study,Asian American Studies,2 TO 3 hours.,Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.
AAS282,Feminist and Queer Activisms,Asian American Studies,3 hours.,Same as GWS 282 and LLS 282. See GWS 282.
AAS283,Asian American History,Asian American Studies,3 hours.,Same as HIST 283. See HIST 283.
